wavelength (nm),intensity (counts)
453.09,99824
453.44,100842
453.8,101445
454.15,104144
454.51,103757
454.86,106422
455.22,105034
455.57,104688
455.93,108240
456.28,110704
456.64,109101
456.99,109331
457.35,107167
457.7,108467
458.06,104078
458.41,107065
458.77,104130
459.12,101864
459.47,100747
459.83,99761
460.18,101058
460.54,97259
460.89,97096
461.25,93879
461.6,95103
461.95,90580
462.31,91967
462.66,88122
463.02,88558
463.37,85146
463.72,83677
464.08,82801
464.43,80000
464.79,78336
465.14,77466
465.49,75825
465.85,75331
466.2,74228
466.55,71712
466.91,71898
467.26,71447
467.61,69722
467.97,67468
468.32,66720
468.67,66866
469.03,65702
469.38,64227
469.73,63849
470.09,61915
470.44,62531
470.79,62101
471.15,61638
471.5,59861
471.85,60902
472.2,59843
472.56,59165
472.91,59209
473.26,57580
473.61,57615
473.97,57225
474.32,57222
474.67,55945
475.03,56771
475.38,56669
475.73,54738
476.08,54386
476.43,54095
476.79,53295
477.14,53749
477.49,52536
477.84,53100
478.2,52152
478.55,51073
478.9,50936
479.25,50802
479.6,51305
479.96,51011
480.31,49554
480.66,49717
481.01,49670
481.36,48565
481.71,48998
482.07,48957
482.42,47605
482.77,47730
483.12,48465
483.47,48003
483.82,46331
484.18,47270
484.53,46950
484.88,47453
485.23,46502
485.58,46220
485.93,45478
486.28,45734
486.63,45135
486.98,45225
487.34,45594
487.69,44742
488.04,45280
488.39,44239
488.74,44643
489.09,44576
489.44,43980
489.79,44826
490.14,44131
490.49,43808
490.84,43718
491.19,43869
491.54,43619
491.89,42924
492.24,42895
492.6,43857
492.95,43165
493.3,42947
493.65,42444
494,42688
494.35,42575
494.7,41848
495.05,42374
495.4,42336
495.75,42214
496.1,42022
496.45,42214
496.8,42490
497.15,42333
497.5,42115
497.85,42234
498.19,42679
498.54,42240
498.89,41958
499.24,42856
499.59,41679
499.94,42609
500.29,41853
500.64,41792
500.99,41606
501.34,40350
501.69,40411
502.04,41763
502.39,41955
502.74,41539
503.09,41949
503.43,41065
503.78,41382
504.13,42170
504.48,41789
504.83,41376
505.18,41286
505.53,42385
505.88,42193
506.22,41699
506.57,43080
506.92,41353
507.27,43586
507.62,42205
507.97,42586
508.32,42365
508.66,42429
509.01,42510
509.36,42429
509.71,42615
510.06,42676
510.4,42423
510.75,42304
511.1,41987
511.45,43563
511.8,42426
512.14,42868
512.49,43281
512.84,42810
513.19,42243
513.54,43162
513.88,43348
514.23,43976
514.58,42627
514.93,43345
515.27,43947
515.62,43476
515.97,43418
516.32,44517
516.66,44427
517.01,43575
517.36,43485
517.71,44136
518.05,44642
518.4,44014
518.75,43985
519.09,43764
519.44,44043
519.79,44017
520.13,43767
520.48,45186
520.83,45122
521.17,44715
521.52,45000
521.87,44401
522.21,44590
522.56,44340
522.91,44767
523.25,44933
523.6,44305
523.95,43738
524.29,44805
524.64,45218
524.99,44209
525.33,44741
525.68,44581
526.02,44459
526.37,44959
526.72,44372
527.06,44494
527.41,43735
527.75,45398
528.1,44901
528.45,43962
528.79,43805
529.14,44654
529.48,43892
529.83,43985
530.17,43895
530.52,44953
530.87,44087
531.21,44023
